"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
121,IRRI,IRIS 313-10102,KELIRENY::IRGC 78426-1-1,IRGC 78426,KELIRENY,,Madagascar,IRGC 127056,KELIRENY::IRGC 78426-1,51891758,51891758,10.8,Indica,ERS467873,
122,IRRI,IRIS 313-8265,CO 39::IRGC 51231-1-1,IRGC 51231,CO 39,,India,IRGC 117454,CO 39,,,,Indica,ERS467874,
123,IRRI,IRIS 313-8568,LARHA MUGAD::IRGC 52339-1-1,IRGC 52339,LARHA MUGAD,,India,IRGC 125619,LARHA MUGAD::IRGC 52339-1,85057358,85057358,17.6,Indica,ERS467875,
124,IRRI,IRIS 313-9044,IR 2071-586-5-6-3::IRGC 39291-1-1,IRGC 39291,IR 42,,Philippines,IRGC 125971,IR 2071-586-5-6-3::IRGC 39291-1,65696250,65696250,13.6,Indica,ERS467876,
125,IRRI,IRIS 313-9314,KAAKARAN::IRGC 27138-1-1,IRGC 27138,KAAKARAN,,Indonesia,,,53522846,53522846,11.1,Indica,ERS467877,
126,IRRI,IRIS 313-9424,ARC 5840::IRGC 12144-1-1,IRGC 12144,ARC 5840,,India,IRGC 125656,ARC 5840::IRGC 12144-1,56366028,56366028,11.7,Indica,ERS467878,
127,IRRI,IRIS 313-9492,NCS 237::IRGC 62202-1-1,IRGC 62202,NCS237,,India,IRGC 125853,NCS 237::IRGC 62202-1,62043116,58029268,12.0,Indica,ERS467879,
128,IRRI,IRIS 313-9696,NAZIRA SAIL::IRGC 77284-1-1,IRGC 77284,NAZIRA SAIL,,Bangladesh,IRGC 125850,NAZIRA SAIL::IRGC 77284-1,52154210,52154210,10.8,Indica,ERS467880,
129,IRRI,IRIS 313-10002,BW 295-5::IRGC 63098-1-1,IRGC 63098,BW295-5,,Sri Lanka,IRGC 125955,BW 295-5::IRGC 63098-1,24224320,24224320,5.0,Indica,ERS467881,
130,IRRI,IRIS 313-10224,HUA LI ZAO::IRGC 80950-1-1,IRGC 80950,HUA LI ZAO,,China,IRGC 125766,HUA LI ZAO::IRGC 80950-1,51084706,47834302,9.9,Indica,ERS467882,
131,IRRI,IRIS 313-10274,ICTA CRISPO 38::IRGC 116994-1-1,IRGC 116994,ICTA CRISPO 38,,Guatemala,IRGC 125967,ICTA CRISPO 38::IRGC 116994-1,29605140,29605140,6.1,Indica,ERS467883,
132,IRRI,IRIS 313-10400,IRGA 370-38-1-1F-C4-2::IRGC 117342-1-1,IRGC 117342,IRGA 370-38-1-1F-C4-2,,Colombia,IRGC 125988,IRGA 370-38-1-1F-C4-2::IRGC 117342-1,37265218,37265218,7.7,Indica,ERS467884,
133,IRRI,IRIS 313-8622,XITTO::IRGC 6671-1-1,IRGC 6671,XITTO,,India,IRGC 126294,XITTO::IRGC 6671-1,38314082,38314082,8.0,Indica,ERS467885,
134,IRRI,IRIS 313-9575,MAE YEU::IRGC 64509-1-1,IRGC 64509,MAE YEU,,Thailand,,MAE YEU::IRGC 64509-1,22040506,22040506,4.6,Temperate japonica,ERS467886,
135,IRRI,IRIS 313-9703,CHIANAN 8::IRGC 90-1-1,IRGC 90,CHIANAN 8,,Taiwan,IRGC 125701,CHIANAN 8::IRGC 90-1,34033406,34033406,7.1,Temperate japonica,ERS467887,
136,IRRI,IRIS 313-9770,RAZZA 77::IRGC 3130-1-1,IRGC 3130,RAZZA 77,,Italy,,,,,,Temperate japonica,ERS467888,
137,IRRI,IRIS 313-9811,KOPANCSI KEREK::IRGC 9305-1-1,IRGC 9305,KOPANCSI KEREK,,Hungary,IRGC 125808,KOPANCSI KEREK::IRGC 9305-1,44341068,44341068,9.2,Tropical japonica,ERS467889,
138,IRRI,IRIS 313-8523,OS 4::IRGC 11335-1-1,IRGC 11335,OS4,,Nigeria,IRGC 117543,OS 4,,,,Japonica,ERS467890,
139,IRRI,IRIS 313-9301,KETAN DONGGO::IRGC 54201-1-1,IRGC 54201,KETAN DONGGO,,Indonesia,IRGC 126068,KETAN DONGGO::IRGC 54201-1,67582520,67582520,14.0,Tropical japonica,ERS467891,
140,IRRI,IRIS 313-9616,INITLOG DALAG::IRGC 67436-1-1,IRGC 67436,INITLOG DALAG,,Philippines,IRGC 127051,INITLOG DALAG::IRGC 67436-1,49370846,49370846,10.2,Temperate japonica,ERS467892,
141,IRRI,IRIS 313-8256,GERDEH::IRGC 32301-1-1,IRGC 32301,GERDEH,,Iran,IRGC 117474,GERDEH,50002676,50002676,10.4,Tropical japonica,ERS467893,
142,IRRI,IRIS 313-8356,BLICCA::IRGC 47151-1-1,IRGC 47151,BLICCA,,Philippines,IRGC 126188,BLICCA::IRGC 47151-1,91810220,91810220,19.1,Temperate japonica,ERS467894,
143,IRRI,IRIS 313-8735,NEP NGAU::IRGC 78369-1-1,IRGC 78369,NEP NGAU,,Vietnam,IRGC 126074,NEP NGAU::IRGC 78369-1,52619092,52619092,10.9,Japonica,ERS467895,
144,IRRI,IRIS 313-8872,571::IRGC 48493-1-1,IRGC 48493,UNNAMED,,Thailand,IRGC 125630,571::IRGC 48493-1,57635190,57635190,12.0,Tropical japonica,ERS467896,
145,IRRI,IRIS 313-9048,TSCHINANANGKA::IRGC 64935-1-1,IRGC 64935,TSCHINANANGKA,,Bhutan,IRGC 125930,TSCHINANANGKA::IRGC 64935-1,74895312,74895312,15.5,Temperate japonica,ERS467897,
146,IRRI,IRIS 313-9081,TAKAO MOCHI::IRGC 2564-1-1,IRGC 2564,TAKAO MOCHI,,Japan,IRGC 125915,TAKAO MOCHI::IRGC 2564-1,50371758,47149692,9.8,Tropical japonica,ERS467898,
147,IRRI,IRIS 313-9239,RIMBUN::IRGC 43741-1-1,IRGC 43741,RIMBUN,,Indonesia,IRGC 126268,RIMBUN::IRGC 43741-1,54490410,54490410,11.3,Temperate japonica,ERS467899,
148,IRRI,IRIS 313-10258,BULI INIA::IRGC 116961-1-1,IRGC 116961,BULI INIA,,Chile,IRGC 126050,BULI INIA::IRGC 116961-1,65149402,65149402,13.5,Basmati/sadri,ERS467900,
149,IRRI,IRIS 313-8385,JC 149::IRGC 9070-1-1,IRGC 9070,JC149,,India,IRGC 117497,JC 149,47499398,47499398,9.9,Japonica,ERS467901,
150,IRRI,IRIS 313-9053,ARC 12536::IRGC 41068-1-1,IRGC 41068,ARC 12536,,India,IRGC 125644,ARC 12536::IRGC 41068-1,29035468,29035468,6.0,Intermediate type,ERS467902,
151,IRRI,IRIS 313-9445,KOIYA DIGHA::IRGC 63517-1-1,IRGC 63517,KOIYA DIGHA,,Bangladesh,IRGC 125806,KOIYA DIGHA::IRGC 63517-1,44505134,44505134,9.2,Intermediate type,ERS467903,
152,IRRI,IRIS 313-9464,SML ACORNI::IRGC 13389-1-1,IRGC 13389,SML ACORNI,,Suriname,IRGC 125903,SML ACORNI::IRGC 13389-1,75381706,75381706,15.6,Tropical japonica,ERS467904,
153,IRRI,IRIS 313-10051,TSIVIMBININA::IRGC 69890-1-1,IRGC 69890,TSIVIMBININA,,Madagascar,IRGC 127067,TSIVIMBININA::IRGC 69890-1,36735714,36735714,7.6,Basmati/sadri,ERS467905,
154,IRRI,IRIS 313-8765,TIMMURAY::IRGC 67857-1-1,IRGC 67857,TIMMURAY,,Bhutan,IRGC 126284,TIMMURAY::IRGC 67857-1,40264178,37706226,7.8,Basmati/sadri,ERS467906,
155,IRRI,IRIS 313-9170,TK DEEP STRAW 34-786::IRGC 38522-1-1,IRGC 38522,TK-DEEP STRAW 34-786,,Bangladesh,,,62520528,62520528,13.0,Basmati/sadri,ERS467907,
156,IRRI,IRIS 313-9682,TK RED 35-799::IRGC 38535-1-1,IRGC 38535,TK-RED 35-799,,Bangladesh,,TK RED 35-799::IRGC 38535-1,68254936,68254936,14.2,Basmati/sadri,ERS467908,
157,IRRI,IRIS 313-8656,BASMATI 1::IRGC 27798-1-1,IRGC 27798,BASMATI 1,,Pakistan,IRGC 126046,BASMATI 1::IRGC 27798-1,,,,Basmati/sadri,ERS467909,
158,IRRI,IRIS 313-9172,ARC 7229::IRGC 12331-1-1,IRGC 12331,ARC 7229,,India,IRGC 126177,ARC 7229::IRGC 12331-1,,,,Indica,ERS467910,
159,IRRI,IRIS 313-8316,RADIN PAHANG::IRGC 14487-1-1,IRGC 14487,RADIN PAHANG,,Malaysia,,RADIN PAHANG::IRGC 14487-1,47647494,47647494,9.9,Indica,ERS467911,
160,IRRI,IRIS 313-9516,NCS 840::IRGC 62530-1-1,IRGC 62530,NCS840,,India,IRGC 126251,NCS 840::IRGC 62530-1,22043544,22043544,4.6,Aus/boro,ERS467912,
161,IRRI,IRIS 313-9861,KURKARUPPAN::IRGC 15449-1-1,IRGC 15449,KURKARUPPAN,,Sri Lanka,,,37105794,27892045,5.8,Indica,ERS467913,
162,IRRI,IRIS 313-10289,ARAURE 1::IRGC 116956-1-1,IRGC 116956,ARAURE 1,,Venezuela,IRGC 125950,ARAURE 1::IRGC 116956-1,43331720,32383399,6.7,Indica,ERS467914,
163,IRRI,IRIS 313-10290,ELONI::IRGC 116980-1-1,IRGC 116980,ELONI,,Suriname,IRGC 125963,ELONI::IRGC 116980-1,,,,Indica,ERS467915,
164,IRRI,IRIS 313-10300,CT 9506-18-7-1T-2::IRGC 116973-1-1,IRGC 116973,CT 9506-18-7-1T-2,,Colombia,IRGC 125960,CT 9506-18-7-1T-2::IRGC 116973-1,54150792,54150792,11.2,Indica,ERS467916,
165,IRRI,IRIS 313-10333,B 6136-3-TB-0-1-5::IRGC 117312-1-1,IRGC 117312,B 6136-3-TB-0-1-5,,Indonesia,IRGC 125951,B 6136-3-TB-0-1-5::IRGC 117312-1,102202992,102202992,21.2,Indica,ERS467917,
166,IRRI,IRIS 313-10334,B 6136 E 3-TB-0-1-5::IRGC 117311-1-1,IRGC 117311,B 6136 E-3-TB-0-1-5,,Indonesia,IRGC 125952,B 6136 E-3-TB-0-1-5::IRGC 117311-1,35442810,26631872,5.5,Indica,ERS467918,
167,IRRI,IRIS 313-10337,B 6149 F-MR-7::IRGC 117314-1-1,IRGC 117314,B 6149 F-MR-7,,Indonesia,IRGC 125953,B 6149 F-MR-7::IRGC 117314-1,112954346,112954346,23.4,Indica,ERS467919,
168,IRRI,IRIS 313-10341,BR 5230-46-4::IRGC 117318-1-1,IRGC 117318,BR 5230-46-4,,Bangladesh,IRGC 121167,BR 5230-46-4::IRGC 117318-1,28188806,21151553,4.4,Indica,ERS467920,
169,IRRI,IRIS 313-10348,CSR 89 IR-15::IRGC 117326-1-1,IRGC 117326,CSR-89 IR-15,,India,IRGC 125959,CSR-89 IR-15::IRGC 117326-1,25338580,25338580,5.3,Indica,ERS467921,
170,IRRI,IRIS 313-10349,CSR 90 IR-2::IRGC 117327-1-1,IRGC 117327,CSR-90 IR-2,,India,IRGC 120921,CSR-90 IR-2::IRGC 117327-1,48279320,48279320,10.0,Indica,ERS467922,
171,IRRI,IRIS 313-10352,CT 9737-6-1-1-2-2P-M::IRGC 117330-1-1,IRGC 117330,CT 9737-6-1-1-2-2P-M,,Colombia,IRGC 120922,CT 9737-6-1-1-2-2P-M::IRGC 117330-1,87574570,87574570,18.2,Indica,ERS467923,
172,IRRI,IRIS 313-10397,IRGA 318-11-6-9-2B::IRGC 117339-1-1,IRGC 117339,IRGA 318-11-6-9-2B,,Colombia,IRGC 120991,IRGA 318-11-6-9-2B::IRGC 117339-1,92830172,82914626,17.2,Indica,ERS467924,
173,IRRI,IRIS 313-10399,IRGA 346-111-2-1F::IRGC 117341-1-1,IRGC 117341,IRGA 346-111-2-1F,,Colombia,IRGC 120992,IRGA 346-111-2-1F::IRGC 117341-1,37939354,28757834,6.0,Indica,ERS467925,
174,IRRI,IRIS 313-10403,IRGA 659-1-2-2-2::IRGC 117345-1-1,IRGC 117345,IRGA 659-1-2-2-2,,Colombia,IRGC 120993,IRGA 659-1-2-2-2::IRGC 117345-1,59241306,53149165,11.0,Indica,ERS467926,
175,IRRI,IRIS 313-10404,K 479-2-3::IRGC 117346-1-1,IRGC 117346,K 479-2-3,,India,IRGC 121003,K 479-2-3::IRGC 117346-1,64104976,57482102,11.9,Indica,ERS467927,
176,IRRI,IRIS 313-10412,RR 272-17-829::IRGC 117354-1-1,IRGC 117354,RR 272-17-829,,Indonesia,IRGC 121103,RR 272-17-829::IRGC 117354-1,35486320,26541519,5.5,Indica,ERS467928,
177,IRRI,IRIS 313-10417,UPR 1201-1-20-1::IRGC 117357-1-1,IRGC 117357,UPR 1201-1-20-1,,India,IRGC 126012,UPR 1201-1-20-1::IRGC 117357-1,34491540,25795787,5.4,Indica,ERS467929,
178,IRRI,IRIS 313-8341,BAT DO::IRGC 7014-1-1,IRGC 7014,BAT DO,,Vietnam,IRGC 121599,BAT DO::IRGC 7014-1,,,,Indica,ERS467930,
179,IRRI,IRIS 313-8303,SURMATIYA::IRGC 74779-1-1,IRGC 74779,SURMATIYA,,India,IRGC 126008,SURMATIYA::IRGC 74779-1,33276552,24805733,5.1,Japonica,ERS467931,
180,IRRI,IRIS 313-8314,BEUREUM MEULIT::IRGC 35563-1-1,IRGC 35563,BEUREUM MEULIT,,Indonesia,IRGC 126047,BEUREUM MEULIT::IRGC 35563-1,28668318,21515329,4.5,Indica,ERS467932,
181,IRRI,IRIS 313-8349,LATA MONA::IRGC 49333-1-1,IRGC 49333,LATA MONA,,Bangladesh,IRGC 128535,LATA MONA::IRGC 49333-1,73866102,65953853,13.7,Indica,ERS467933,
182,IRRI,IRIS 313-8368,MENTIK TJERE BELUT::IRGC 18254-1-1,IRGC 18254,MENTIK TJERE BELUT,,Indonesia,IRGC 126071,MENTIK TJERE BELUT::IRGC 18254-1,57050040,42722746,8.9,Indica,ERS467934,
183,IRRI,IRIS 313-8380,SAN CHIAO TSWEN::IRGC 1565-1-1,IRGC 1565,SAN CHIAO TSWEN,,China,IRGC 126123,SAN CHIAO TSWEN::IRGC 1565-1,38827644,29144605,6.0,Aus/boro,ERS467935,
184,IRRI,IRIS 313-8382,ARC 13252::IRGC 22604-1-1,IRGC 22604,ARC 13252,,India,,,41465528,31167320,6.5,Indica,ERS467936,
185,IRRI,IRIS 313-8392,IR 2003-P7-7-4-2::IRGC 32671-1-1,IRGC 32671,IR 2003-P7-7-4-2,,Philippines,IRGC 125970,IR 2003-P7-7-4-2::IRGC 32671-1,49417262,44017769,9.1,Indica,ERS467937,
186,IRRI,IRIS 313-8412,FEI GAI 122::IRGC 63599-1-1,IRGC 63599,FEI GAI 122,,China,IRGC 125609,FEI GAI 122::IRGC 63599-1,46124730,34685328,7.2,Indica,ERS467938,
187,IRRI,IRIS 313-8433,CHANG LE SAN SHU ZAO::IRGC 63561-1-1,IRGC 63561,CHANG LE SAN SHU ZAO,,China,IRGC 126115,CHANG LE SAN SHU ZAO::IRGC 63561-1,55624296,41639657,8.6,Indica,ERS467939,
188,IRRI,IRIS 313-8435,UPRH 233::IRGC 61667-1-1,IRGC 61667,UPRH233,,India,IRGC 125627,UPRH 233::IRGC 61667-1,49209946,36887888,7.7,Indica,ERS467940,
189,IRRI,IRIS 313-8437,IRRIBINI::IRGC 49094-1-1,IRGC 49094,IRRIBINI,,Bangladesh,IRGC 126215,IRRIBINI::IRGC 49094-1,55460830,41496500,8.6,Indica,ERS467941,
190,IRRI,IRIS 313-8450,498-2A BR 8::IRGC 5891-1-1,IRGC 5891,498-2A BR 8,,India,IRGC 126041,498-2A BR 8::IRGC 5891-1,49537502,37023006,7.7,Indica,ERS467942,
191,IRRI,IRIS 313-8453,ARC 18597::IRGC 43299-1-1,IRGC 43299,ARC 18597,,India,IRGC 126043,ARC 18597::IRGC 43299-1,97806668,87316434,18.1,Indica,ERS467943,
192,IRRI,IRIS 313-8454,LAI YIP ZIM::IRGC 4955-1-1,IRGC 4955,LAI YIP ZIM,,Taiwan,IRGC 125618,LAI YIP ZIM::IRGC 4955-1,100118878,89723376,18.6,Indica,ERS467944,
193,IRRI,IRIS 313-8458,ARC 18175::IRGC 42316-1-1,IRGC 42316,ARC 18175,,India,,ARC 18175::IRGC 42316-1,44275954,33106480,6.9,Indica,ERS467945,
194,IRRI,IRIS 313-8474,PAH WEAN::IRGC 78276-1-1,IRGC 78276,PAH WEAN,,Thailand,IRGC 126258,PAH WEAN::IRGC 78276-1,26544434,19925474,4.1,Indica,ERS467946,
195,IRRI,IRIS 313-8485,NAM SA GUI 19::IRGC 11462-1-1,IRGC 11462,NAM SA-GUI 19,,Thailand,IRGC 117536,NAM SA GUI 19,,,,Indica,ERS467947,
196,IRRI,IRIS 313-8509,PUILLIPINA KATARI::IRGC 77293-1-1,IRGC 77293,PUILLIPINA KATARI,,Bangladesh,IRGC 126261,PUILLIPINA KATARI::IRGC 77293-1,66076448,49377483,10.2,Indica,ERS467948,
197,IRRI,IRIS 313-8514,DAA MANSA::IRGC 67559-1-1,IRGC 67559,DAA MANSA,,Ghana,IRGC 126196,DAA MANSA::IRGC 67559-1,31414952,23454350,4.9,Indica,ERS467949,
198,IRRI,IRIS 313-8536,NG KARAN DE::IRGC 43489-1-1,IRGC 43489,NG. KARAN DE,,Indonesia,,NG KARAN DE::IRGC 43489-1,68475650,64130768,13.3,Indica,ERS467950,
199,IRRI,IRIS 313-8559,KEERIPALA CHILL PADDY::IRGC 49790-1-1,IRGC 49790,KEERIPALA CHILL PADDY,,India,IRGC 125615,KEERIPALA CHILL PADDY::IRGC 49790-1,33965752,26286553,5.5,Indica,ERS467951,
200,IRRI,IRIS 313-8585,ARC 11901::IRGC 21727-1-1,IRGC 21727,ARC 11901,,India,IRGC 127033,ARC 11901::IRGC 21727-1,72130872,64392609,13.4,Indica,ERS467952,
201,IRRI,IRIS 313-8586,PLI KHAO::IRGC 64596-1-1,IRGC 64596,PLI KHAO,,Thailand,IRGC 126081,PLI KHAO::IRGC 64596-1,95860832,95860832,19.9,Indica,ERS467953,
202,IRRI,IRIS 313-8603,ARC 12884::IRGC 22417-1-1,IRGC 22417,ARC 12884,,India,IRGC 126042,ARC 12884::IRGC 22417-1,47499550,36681484,7.6,Indica,ERS467954,
203,IRRI,IRIS 313-8614,RAJHUSAI (ACR 12)::IRGC 53630-1-1,IRGC 53630,RAJHUSAI(ACR12),,India,IRGC 126264,RAJHUSAI (ACR 12)::IRGC 53630-1,36460642,28125841,5.8,Indica,ERS467955,
204,IRRI,IRIS 313-8616,IR 5494 (BPH 1)::IRGC 24484-1-1,IRGC 24484,IR 5494 (BPH 1),,Philippines,,IR 5494 (BPH 1)::IRGC 24484-1,67992270,67992270,14.1,Indica,ERS467956,
205,IRRI,IRIS 313-8621,ARC 11663::IRGC 42695-1-1,IRGC 42695,ARC 11663,,India,IRGC 126174,ARC 11663::IRGC 42695-1,49940068,46741574,9.7,Indica,ERS467957,
206,IRRI,IRIS 313-8631,DUDRE::IRGC 52523-1-1,IRGC 52523,DUDRE,,India,IRGC 125608,DUDRE::IRGC 52523-1,42726578,38142888,7.9,Indica,ERS467958,
207,IRRI,IRIS 313-8632,PATMADHAI 1::IRGC 77292-1-1,IRGC 77292,PATMADHAI 1,,Bangladesh,,,39821238,30891296,6.4,Indica,ERS467959,
208,IRRI,IRIS 313-8645,PAI YI PING::IRGC 1368-1-1,IRGC 1368,PAI YI PING,,China,IRGC 126122,PAI YI PING::IRGC 1368-1,59254560,53501905,11.1,Indica,ERS467960,
209,IRRI,IRIS 313-8647,PERUNEL::IRGC 63113-1-1,IRGC 63113,PERUNEL,,India,IRGC 125621,PERUNEL::IRGC 63113-1,43814738,33876611,7.0,Indica,ERS467961,
210,IRRI,IRIS 313-8659,YA THAY SAN::IRGC 58245-1-1,IRGC 58245,YA THAY SAN,,Myanmar,,,83429288,83429288,17.3,Indica,ERS467962,
211,IRRI,IRIS 313-8674,HAWM KRUA::IRGC 64333-1-1,IRGC 64333,HAWM KRUA,,Thailand,IRGC 125965,HAWM KRUA::IRGC 64333-1,39572300,30395026,6.3,Indica,ERS467963,
212,IRRI,IRIS 313-8679,JAO LEUANG::IRGC 65866-1-1,IRGC 65866,JAO LEUANG,,Thailand,IRGC 126216,JAO LEUANG::IRGC 65866-1,40635340,31306941,6.5,Indica,ERS467964,
213,IRRI,IRIS 313-8697,YEBAWYIN::IRGC 33885-1-1,IRGC 33885,YEBAWYIN,,Myanmar,IRGC 125628,YEBAWYIN::IRGC 33885-1,57434400,51547967,10.7,Indica,ERS467965,
214,IRRI,IRIS 313-8704,ROPA::IRGC 74774-1-1,IRGC 74774,ROPA,,India,,,32574330,25083665,5.2,Indica,ERS467966,
215,IRRI,IRIS 313-8717,BAZAIL::IRGC 27526-1-1,IRGC 27526,BAZAIL,,Bangladesh,IRGC 126184,BAZAIL::IRGC 27526-1,56581556,52951729,11.0,Indica,ERS467967,
216,IRRI,IRIS 313-8731,NIBARI::IRGC 67742-1-1,IRGC 67742,NIBARI,,India,IRGC 126119,NIBARI::IRGC 67742-1,34702194,26739452,5.5,Indica,ERS467968,
217,IRRI,IRIS 313-8732,WP 36::IRGC 55278-1-1,IRGC 55278,WP36,,Thailand,IRGC 126092,WP 36::IRGC 55278-1,46420842,35751598,7.4,Indica,ERS467969,
218,IRRI,IRIS 313-8737,SADAJIRA 19-287::IRGC 38320-1-1,IRGC 38320,SADAJIRA 19-287,,Bangladesh,IRGC 126270,SADAJIRA 19-287::IRGC 38320-1,43035558,33394604,6.9,Indica,ERS467970,
219,IRRI,IRIS 313-8744,REMOL::IRGC 18624-1-1,IRGC 18624,REMOL,,Indonesia,IRGC 126266,REMOL::IRGC 18624-1,35646464,27499884,5.7,Indica,ERS467971,
220,IRRI,IRIS 313-8754,TYPE 50::IRGC 74782-1-1,IRGC 74782,TYPE 50,,India,IRGC 126011,TYPE 50::IRGC 74782-1,48358942,34905537,7.2,Indica,ERS467972,
221,IRRI,IRIS 313-8757,NIRGUNI::IRGC 61127-1-1,IRGC 61127,NIRGUNI,,India,IRGC 126000,NIRGUNI::IRGC 61127-1,48565598,37445552,7.8,Indica,ERS467973,
222,IRRI,IRIS 313-8783,105::IRGC 40896-1-1,IRGC 40896,105,,Sri Lanka,IRGC 126170,105::IRGC 40896-1,32183980,24891034,5.2,Indica,ERS467974,
223,IRRI,IRIS 313-8796,DUDH KADAR::IRGC 67707-1-1,IRGC 67707,DUDH KADAR,,India,IRGC 125607,DUDH KADAR::IRGC 67707-1,37198736,28815039,6.0,Indica,ERS467975,
224,IRRI,IRIS 313-8812,RELLY::IRGC 14623-1-1,IRGC 14623,RELLY,,Indonesia,IRGC 126160,RELLY::IRGC 14623-1,39105666,36582987,7.6,Aus/boro,ERS467976,
225,IRRI,IRIS 313-8822,STRAW 23-400::IRGC 38390-1-1,IRGC 38390,STRAW 23-400,,Bangladesh,,,38538688,29679548,6.2,Indica,ERS467977,
226,IRRI,IRIS 313-8844,ARC 14060::IRGC 41374-1-1,IRGC 41374,ARC 14060,,India,IRGC 125648,ARC 14060::IRGC 41374-1,40513112,31186188,6.5,Indica,ERS467978,
227,IRRI,IRIS 313-8846,BAIANG 6::IRGC 6129-1-1,IRGC 6129,BAIANG 6,,Indonesia,IRGC 125668,BAIANG 6::IRGC 6129-1,46610710,35945984,7.5,Indica,ERS467979,
228,IRRI,IRIS 313-8850,ASHMBER::IRGC 27522-1-1,IRGC 27522,ASHMBER,,Bangladesh,IRGC 125657,ASHMBER::IRGC 27522-1,45814170,35330449,7.3,Indica,ERS467980,
229,IRRI,IRIS 313-8854,CHAKOL::IRGC 77226-1-1,IRGC 77226,CHAKOL,,Bangladesh,IRGC 125696,CHAKOL::IRGC 77226-1,34140282,26390085,5.5,Indica,ERS467981,
230,IRRI,IRIS 313-8859,E ZI 96::IRGC 70188-1-1,IRGC 70188,E ZI 96,,China,IRGC 125738,E ZI 96::IRGC 70188-1,19690918,15304290,3.2,Intermediate type,ERS467982,
231,IRRI,IRIS 313-8880,PAGAIYAHAN::IRGC 8267-1-1,IRGC 8267,PAGAIYAHAN,,Taiwan,IRGC 117550,PAGAIYAHAN,,,,Indica,ERS467983,
232,IRRI,IRIS 313-8889,LU MAO ZHAN::IRGC 68159-1-1,IRGC 68159,LU MAO ZHAN,,China,IRGC 125829,LU MAO ZHAN::IRGC 68159-1,34803326,26882790,5.6,Indica,ERS467984,
233,IRRI,IRIS 313-8895,LEUANG DAM::IRGC 78267-1-1,IRGC 78267,LEUANG DAM,,Thailand,IRGC 126156,LEUANG DAM::IRGC 78267-1,22936752,19928573,4.1,Indica,ERS467985,
234,IRRI,IRIS 313-8900,ARC 14654::IRGC 41663-1-1,IRGC 41663,ARC 14654,,India,IRGC 125650,ARC 14654::IRGC 41663-1,40280120,35573192,7.4,Indica,ERS467986,
235,IRRI,IRIS 313-8909,FAYA MOSHI::IRGC 69653-1-1,IRGC 69653,FAYA MOSHI,,Tanzania,IRGC 125740,FAYA MOSHI::IRGC 69653-1,74176950,66336602,13.8,Indica,ERS467987,
236,IRRI,IRIS 313-8914,E 2040::IRGC 67968-1-1,IRGC 67968,E 2040,,China,IRGC 125731,E 2040::IRGC 67968-1,61394048,55000298,11.4,Indica,ERS467988,
237,IRRI,IRIS 313-8920,PATALASAFED SUNGHAWADO::IRGC 61133-1-1,IRGC 61133,PATALASAFED SUNGHAWADO,,India,IRGC 125869,PATALASAFED SUNGHAWADO::IRGC 61133-1,57768498,54068174,11.2,Indica,ERS467989,
238,IRRI,IRIS 313-8921,PUTTIGE::IRGC 52588-1-1,IRGC 52588,PUTTIGE,,India,IRGC 125879,PUTTIGE::IRGC 52588-1,88586,64418,0.0,Indica,ERS467990,
239,IRRI,IRIS 313-8924,KUTTA::IRGC 52184-1-1,IRGC 52184,KUTTA,,India,IRGC 125815,KUTTA::IRGC 52184-1,76168988,60230127,12.5,Indica,ERS467991,
240,IRRI,IRIS 313-8925,KURULUTUDU::IRGC 36304-1-1,IRGC 36304,KURULUTUDU,,Sri Lanka,IRGC 125813,KURULUTUDU::IRGC 36304-1,130131644,100507972,20.9,Indica,ERS467992,
241,IRRI,IRIS 313-8930,MUKKALA BAZAL::IRGC 77279-1-1,IRGC 77279,MUKKALA BAZAL,,Bangladesh,IRGC 125844,MUKKALA BAZAL::IRGC 77279-1,120432592,92789277,19.3,Indica,ERS467993,
242,IRRI,IRIS 313-8932,PATISAIL::IRGC 37562-1-1,IRGC 37562,PATISAIL,,Bangladesh,IRGC 126079,PATISAIL::IRGC 37562-1,53635948,40841987,8.5,Indica,ERS467994,
243,IRRI,IRIS 313-8935,ARC 18061::IRGC 47650-1-1,IRGC 47650,ARC 18061,,India,IRGC 127034,ARC 18061::IRGC 47650-1,84326618,64176730,13.3,Indica,ERS467995,
244,IRRI,IRIS 313-8940,FU ZAO XIAN::IRGC 63619-1-1,IRGC 63619,FU ZAO XIAN,,China,IRGC 125744,FU ZAO XIAN::IRGC 63619-1,83750294,78417191,16.3,Indica,ERS467996,
245,IRRI,IRIS 313-8946,ARC 11524::IRGC 42672-1-1,IRGC 42672,ARC 11524,,India,IRGC 125641,ARC 11524::IRGC 42672-1,44479342,41572730,8.6,Indica,ERS467997,
246,IRRI,IRIS 313-8948,BUCAYAB::IRGC 44357-1-1,IRGC 44357,BUCAYAB,,Philippines,IRGC 126974,BUCAYAB::IRGC 44357-1,147165890,116439211,24.2,Indica,ERS467998,
